name,smiles
317-avr-enamine,O=S(=O)(NCCc1cccnc1)N1CCOCC1
318-avr-enamine,CS(=O)(=O)Cc1nc2ccccc2n1CC(O)c1ccccc1
319-avr-enamine,NC(=O)C1(CCCCC1)NCCn1cccn1
320-avr-enamine,Cc1csc(CCNC(=O)C2CCOC2)n1
321-avr-enamine,CC(NC(=O)N)C(=O)NCc1ccc(nc1)N1CCOCC1
322-avr-enamine,CCN1CCN(CC1)C(=O)C(C)NC(C)Cn1cccn1
323-avr-enamine,CC(NC(C)C(=O)N1CCOCC1)C(C)n1cccn1
324-avr-enamine,CCSC1CCCC(C1)NC(=O)Nc1cnn(C)c1
325-avr-enamine,COCCn1c(SC(C(=O)N)c2ccccc2)nc2ccccc12
326-avr-enamine,CC(=O)N1CCC(C1)C(=O)NCCc1sc(C)nc1C
327-avr-enamine,Clc1cnn(CC(=O)NCC(=O)N2CCCC2)c1
328-avr-enamine,CC1(C)CC(NC(=O)Cc2cccnc2)C(C)(C)O1
329-avr-enamine,CS(=O)(=O)N1CCN(CC1)c1ccc(NC(=O)NC2CC2)cn1
330-avr-enamine,CN(C)C1(CNC(=O)Nc2cccnc2)CCOCC1
331-avr-enamine,CC(C(=O)NCC1(CO)CCCCC1)n1ccnc1
332-avr-enamine,O=C(NCCN1CCN(CC1)C(=O)C1CCC1)Nc1ccccn1
333-avr-enamine,NC(=O)Nc1ncn(n1)C1CCCCC1
